---
id: d3ad19d492e94eaf
url: https://news.google.com/rss/articles/CBMimAFBVV95cUxQR2ZZeWo1LWpIQndHLXlJMUFVdXdhN3NVYjRIRWxGTU02MWkwWE5RTVVranVmWXlsYVQyR3VzZlBGbjVIaE9haGg0b2FnRFFBWHpkYXVrQl9uTV8zSWxscVRDN18xdXpPM19RUmtiY21jRm41UVBIM1BQSnRIQ0NaSm9hOFhYQmxaYmszYzJDOXM5Vk5DRTlTa9IBlwFBVV95cUxQSlBwRUhqUk80cWNKc2ZXTjB1OHJHNW4tUmRTaHJIcXZRc1otT1VTVFpibERuUjZOYmgyMEgtVzhDSkVRWmxCTHUzdWZGSmNmSTlrcXQzMlBSMVhsTnlsUkpFNmFaX1JPSzVKazUyb1ZrakV5OTc1YUxSVDdnM2dRRG9xZmdub0lNeDEzWGIxMlhZVDZfTjkw?oc=5
rss_url: https://news.google.com/rss/articles/CBMimAFBVV95cUxQR2ZZeWo1LWpIQndHLXlJMUFVdXdhN3NVYjRIRWxGTU02MWkwWE5RTVVranVmWXlsYVQyR3VzZlBGbjVIaE9haGg0b2FnRFFBWHpkYXVrQl9uTV8zSWxscVRDN18xdXpPM19RUmtiY21jRm41UVBIM1BQSnRIQ0NaSm9hOFhYQmxaYmszYzJDOXM5Vk5DRTlTa9IBlwFBVV95cUxQSlBwRUhqUk80cWNKc2ZXTjB1OHJHNW4tUmRTaHJIcXZRc1otT1VTVFpibERuUjZOYmgyMEgtVzhDSkVRWmxCTHUzdWZGSmNmSTlrcXQzMlBSMVhsTnlsUkpFNmFaX1JPSzVKazUyb1ZrakV5OTc1YUxSVDdnM2dRRG9xZmdub0lNeDEzWGIxMlhZVDZfTjkw?oc=5
title: Barbara Oteng-Gyasi Present Tricycles To Farmers and Youth Associations - Modern
  Ghana
country: Ghana
domain: agriculture
domain_score: 19
info_type: news_article
published_at: '2020-03-24T00:00:00+00:00'
published_at_source: rss
published_at_confidence: 0.95
published_at_raw: '2020-03-24'
html_published_at: null
html_published_raw: null
article_updated_at: null
html_updated_raw: null
ingested_at: '2026-03-24T16:16:44+00:00'
extracted_at: '2026-03-24T16:16:42+00:00'
feed_name: Google News — Ghana agriculture [2020-03-23]
source: rss
body_source: tavily_search
phase1_fetch_url: https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMimAFBVV95cUxQR2ZZeWo1LWpIQndHLXlJMUFVdXdhN3NVYjRIRWxGTU02MWkwWE5RTVVranVmWXlsYVQyR3VzZlBGbjVIaE9haGg0b2FnRFFBWHpkYXVrQl9uTV8zSWxscVRDN18xdXpPM19RUmtiY21jRm41UVBIM1BQSnRIQ0NaSm9hOFhYQmxaYmszYzJDOXM5Vk5DRTlTa9IBlwFBVV95cUxQSlBwRUhqUk80cWNKc2ZXTjB1OHJHNW4tUmRTaHJIcXZRc1otT1VTVFpibERuUjZOYmgyMEgtVzhDSkVRWmxCTHUzdWZGSmNmSTlrcXQzMlBSMVhsTnlsUkpFNmFaX1JPSzVKazUyb1ZrakV5OTc1YUxSVDdnM2dRRG9xZmdub0lNeDEzWGIxMlhZVDZfTjkw?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1&escs=AZ8E49DbIOJmxlSp9Dpl1LDzBugg7G3JSrkpSlAVMhrv5AVI6v33TlHwxFJek9htT1XspdA9nctjWB6neV_M9vncBgI54QvZX6-K
article_fetch_url: https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMimAFBVV95cUxQR2ZZeWo1LWpIQndHLXlJMUFVdXdhN3NVYjRIRWxGTU02MWkwWE5RTVVranVmWXlsYVQyR3VzZlBGbjVIaE9haGg0b2FnRFFBWHpkYXVrQl9uTV8zSWxscVRDN18xdXpPM19RUmtiY21jRm41UVBIM1BQSnRIQ0NaSm9hOFhYQmxaYmszYzJDOXM5Vk5DRTlTa9IBlwFBVV95cUxQSlBwRUhqUk80cWNKc2ZXTjB1OHJHNW4tUmRTaHJIcXZRc1otT1VTVFpibERuUjZOYmgyMEgtVzhDSkVRWmxCTHUzdWZGSmNmSTlrcXQzMlBSMVhsTnlsUkpFNmFaX1JPSzVKazUyb1ZrakV5OTc1YUxSVDdnM2dRRG9xZmdub0lNeDEzWGIxMlhZVDZfTjkw?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1&escs=AZ8E49DbIOJmxlSp9Dpl1LDzBugg7G3JSrkpSlAVMhrv5AVI6v33TlHwxFJek9htT1XspdA9nctjWB6neV_M9vncBgI54QvZX6-K
enriched: true
enrichment_used: tavily_search
dedupe_id: cd4f0fe27bd699f5
cluster_id: 271dabd1000906bf
is_duplicate: false
duplicate_of: null
agrifood_signal: true
agrifood_signals:
- agriculture
- agricultural
- agro-
- farmers
- farming
- fertiliser
domain_scores:
  agriculture: 19
  economics: 0
domain_labels:
- agriculture
best_domain: agriculture
pipeline_nodes_executed:
- load_feeds
- discover_candidates
- dedupe_rank
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- tavily_enrich
- merge_enrichment
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- tavily_enrich
- merge_enrichment
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- tavily_enrich
- merge_enrichment
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- tavily_enrich
- merge_enrichment
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- tavily_enrich
- merge_enrichment
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- store_article
- fetch_phase1
- resolve_article_url
- fetch_phase2
- clean_extract
- extract_dates
- normalize_dates
- agrifood_gate
- domain_score
- enrichment_decision
- tavily_enrich
- merge_enrichment
- store_article
fetch_url: https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMimAFBVV95cUxQR2ZZeWo1LWpIQndHLXlJMUFVdXdhN3NVYjRIRWxGTU02MWkwWE5RTVVranVmWXlsYVQyR3VzZlBGbjVIaE9haGg0b2FnRFFBWHpkYXVrQl9uTV8zSWxscVRDN18xdXpPM19RUmtiY21jRm41UVBIM1BQSnRIQ0NaSm9hOFhYQmxaYmszYzJDOXM5Vk5DRTlTa9IBlwFBVV95cUxQSlBwRUhqUk80cWNKc2ZXTjB1OHJHNW4tUmRTaHJIcXZRc1otT1VTVFpibERuUjZOYmgyMEgtVzhDSkVRWmxCTHUzdWZGSmNmSTlrcXQzMlBSMVhsTnlsUkpFNmFaX1JPSzVKazUyb1ZrakV5OTc1YUxSVDdnM2dRRG9xZmdub0lNeDEzWGIxMlhZVDZfTjkw?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1&escs=AZ8E49DbIOJmxlSp9Dpl1LDzBugg7G3JSrkpSlAVMhrv5AVI6v33TlHwxFJek9htT1XspdA9nctjWB6neV_M9vncBgI54QvZX6-K
---

Yeboah hails President Mahama's agricultural push with Afram Plains Service Centre - GhanaWeb You are here: Home → Business → 2026 03 22 → **Article 2026886**. Business News of Sunday, 22 March 2026. # Yeboah hails President Mahama's agricultural push with Afram Plains Service Centre. Michael Yeboah, President of the Concerned Youth of Afram Plains, has commended President John Dramani Mahama and the Minister of Food and Agriculture for the construction of the first Farmers’ Service Centre in the Kwahu Afram Plains South Constituency at Takoratwene. Michael Yeboah, President of the Concerned Youth of Afram Plains. In a congratulatory message to the President, Michael stated, “I warmly congratulate His Excellency the President and the Honorable Minister for this visionary initiative and for selecting Kwahu Afram Plains South as the location for the first centre.”. He further pledged his commitment to the success of the project, “As President of Concerned Youth of Afram Plains, I pledge my unwavering support and commitment to the success of this project. Home News Sports Business Entertainment Africa GhanaWeb TV Opinions Cartoon Say It loud. https://www.ghanaweb.com/GhanaHomePage/business/Yeboah-hails-President-Mahama-s-agricultural-push-with-Afram-Plains-Service-Centre-2026886

